Question,Answer
Has the entity at any time exercised control over the management or policies of a broker or dealer which has been adjudicated bankrupt?,Yes
"If an individual is applying for a license to become a municipal securities dealer, what should be listed in item 3?",The individual should list any licenses or registrations that are of a restricted nature or have been suspended.
What is the primary purpose of Schedule C in the Form ADV Part 2A?,The primary purpose of Schedule C is to provide information about the applicant's municipal securities dealer activities.
"What procedures are in place for maintaining records of activities, including their location and retrieval?","The procedures for maintaining records of activities, including their location and retrieval, are that such records are collected and retrieved by the category of employees having authority to collect or retrieve such records, and that the name of each person who supervises the maintenance of such records is maintained."
"Do you have any other professional activities outside of acting as a municipal securities dealer? If so, please provide details on these activities.","Yes, I have other professional activities outside of acting as a municipal securities dealer. These activities include providing investment advisory services, acting as a registered representative of a broker-dealer, and providing other financial services."
What is the purpose of the undersigned's representations in the text?,The purpose of the undersigned's representations is to ensure that the information contained in the text is accurate and up to date.
What is the OMB control number for this form?,1588
What are the consequences of a notice to withdraw from registration being filed with the Commission at any time subsequent to the date of the issuance of a Commission order instituting proceedings pursuant to Section 15B(c)?,"If a notice to withdraw from registration is filed with the Commission at any time subsequent to the date of the issuance of a Commission order instituting proceedings pursuant to Section 15B(c), the notice of withdrawal shall not become effective pursuant to this paragraph (b) except at such time and upon such terms and conditions as the Commission deems necessary or appropriate in the public interest or for the protection of investors."
"If the space provided for an answer is insufficient, what should be done?","If the space provided for an answer is insufficient, the complete answer should be prepared on a separate sheet under the heading “Answer to Item ____” and attached to the Form. Reference thereto must be made on the Form under the Item."
What does it mean if a Form MSDW is not properly completed and signed?,"If a Form MSDW is not properly completed and signed, it may be returned as not acceptable for filing."
What are the basic design principles that a fund's prospectus should follow in order to effectively communicate information to investors?,"The basic design principles that a fund's prospectus should follow are to use concise, straightforward, and easy to understand language, to use document design techniques that promote effective communication, and to emphasize the Fund’s overall investment approach and strategy."
What are some of the things that should be avoided when drafting a fund prospectus?,"Lengthy legal and technical discussions, restating legal or regulatory requirements, and disproportionate emphasizing of possible investments or activities should be avoided."
What are some things to avoid when drafting a prospectus?,"Drafting a prospectus that is too long, includes excessive detail or technical legal terminology, or is otherwise difficult to understand."
What does Part B of the text afford the Fund?,Part B of the text affords the Fund an opportunity to expand discussions of the matters described in the prospectus by including additional information that the  Fund believes may be of use to investors.
What is the significance of Item 8 in a prospectus?,Item 8 is the most important item in a prospectus because it is the only item that is required by law. All other items in the prospectus are optional.
How can a fund include information in the prospectus or SAI that is not otherwise required?,"A fund can include information in the prospectus or SAI that is not otherwise required if it is not incomplete, inaccurate, or misleading and if it does not conflict with information required in Items 2 through 8."
Does a prospectus that contains information about more than one Fund have to present all of the information required by Items 2 through 8 for each Fund sequentially?,"Yes, a prospectus that contains information about more than one Fund must present all of the information required by Items 2 through 8 for each Fund sequentially."
"Question: Will the relevant Fund's information be presented separately for each Class, or will it be integrated for multiple Classes?",The relevant Fund's information will be integrated for multiple Classes.
What is the Form's intent for disclosing the information required by Items 2 through 8?,The Form's intent is to disclose the information required by Items 2 through 8 in a standard order at the beginning of the prospectus.
Does a prospectus that contains information about more than one fund have to integrate the information required by any of items 6 through 8?,"No, the prospectus does not have to integrate the information required by any of items 6 through 8."
What important information is integrated pursuant to paragraph 8?,"The important information that is integrated pursuant to paragraph 8 is the purchase and sale of fund shares, tax information, and financial intermediary compensation."
What types of investment vehicles are not subject to taxation under section 403(b) or 457 of the Internal Revenue Code?,"Variable contracts as defined in section 817(d) of the Internal Revenue Code (26 U.S.C. 817(d)), or similar plans or arrangements pursuant to which an investor is not taxed on his or her investment in the Fund until the investment is sold."
What two rules does the SAI have to be made available for at the same time as the prospectus?,Rule 430 and Rule 460 under the Securities Act.
What is required to be submitted to the Commission in the manner provided by rule 405 of Regulation S-T for any registration statement or post- effective amendment thereto on Form N-1A that includes or?,An Interactive Data File is required to be submitted to the Commission in the manner provided by rule 405 of Regulation S-T for any registration statement or post- effective amendment thereto on Form N-1A that includes or.
What must be included in an Interactive Data File?,"The Interactive Data File must include a description of the business, the financial statements, and the management's discussion and analysis."
What is the purpose of an Interactive Data File?,An Interactive Data File is used to submit information to the Commission that varies from the registration statement. This allows the Commission to review the information and determine whether it is accurate and complete.
What are the requirements for incorporation by reference in a prospectus?,incorporation by reference must comply with the Securities Act [17 CFR 230.411] (general rules on incorporation by reference in a prospectus); rule 303 of Regulation S– T [1 7 CFR 232.303] (specific
What does a fund need to do in order to make its SAI and shareholder reports available on its Web site?,A fund must make its SAI and shareholder reports available on its Web site in order to make them available to shareholders.
"How can investors access the annual report, semi-annual report, or other information filed by the fund?","By requesting the SAI, annual report, semi-annual report, or other information from the Fund (or financial intermediary)."
How can I get the information mentioned in the text?,The information mentioned in the text can be obtained by request from the telephone number given.
What is the amount of expenses that are deducted from the Fund's assets?,The amount of expenses that are deducted from the Fund's assets are the amounts shown as expenses in the Fund's statement of operations.
What are considered to be extraordinary expenses for the purposes of disclosure?,"Unusual expenses that are not expected to recur in the future and that would materially affect the Fund's ""Other Expenses."""
"What is the basis for determining ""Annual Fund Operating Expenses""?","The basis for determining ""Annual Fund Operating Expenses"" is the Fund's most recent fiscal year. However, amounts that would have been incurred absent expense reimbursement or fee waiver arrangements are also included in expenses. If the Fund has changed its fiscal year and the most recent fiscal year is less than three months, the fiscal year prior to the most recent one is used as the basis for determining expenses."
What are the fees and expenses incurred indirectly by the fund as a result of investment in shares of one or more Acquired Funds?,The fees and expenses incurred indirectly by the fund as a result of investment in shares of one or more Acquired Funds are those incurred by the Acquired Funds themselves.
Can the fees and expenses incurred indirectly by the Fund as a result of investment in shares of one or more Acquired Funds exceed 0.01 percent (one basis point) of average net assets of the Fund?,Yes
What is the minimum frequency with which the Acquired Fund must be invested in order to be considered held by the Fund?,The minimum frequency with which the Acquired Fund must be invested is monthly.
What is the formula for calculating internal rate of return?,"To calculate internal rate of return, you divide the numerator by the number of measurement points included in the calculation of the numerator."
What expenses is the New Fund basing its Acquired Fund fees and expenses on?,The New Fund is basing its Acquired Fund fees and expenses on estimated amounts for the specific Acquired Funds in which the New Fund expects to invest.
"What is the meaning of the word ""bracketed"" in the context of the text?","The word ""bracketed"" means that the sales charges (loads) are charged on reinvested capital gains distributions or returns of capital."
What is a deferred sales charge (load)?,A deferred sales charge (load) is a sales charge that is not due until the end of the year in which it is incurred.
What is the shortest period for which a fund is required to provide information on portfolio turnover?,The shortest period for which a fund is required to provide information on portfolio turnover is the period for which the fund has been in operation.
What is the Federal Deposit Insurance Corporation?,The Federal Deposit Insurance Corporation is a government agency that insures bank deposits.
Is an investment in the Fund guaranteed by the Federal Deposit Insurance Corporation?,No
Is this investment a good choice for someone who is risk-averse?,This investment is not a good choice for someone who is risk-averse.
What is the Fund's sponsor not required to do?,The Fund sponsor is not required to reimburse the Fund for losses.
"What is the definition of ""financial support"" according to the text?","""Financial support"" includes any capital contribution, purchase of a security from the Fund in reliance on $ 270.17a -9, purchase of any defaulted or devalued security at par, execution of letter of credit, or provision of other liquidity support."
"What is the term ""financial support"" in relation to capital support agreements?","The term “financial support” refers to any actions taken in order to increase or stabilize the value or liquidity of the fund’s portfolio. This includes credit or letter of indemnity, capital support agreement, performance guarantee, or any other similar actions."
What is the most recent performance information for the fund?,"The performance information for the fund is available on the fund's website. The most recent performance information is for the period ending December 31, 2020."
"What has been the annual return of the fund for each of the past 10 years, if available?","The annual return of the fund for each of the past 10 years has been 9.8%, 8.1%, 11.2%, 10.4%, 9.9%, 11.1%, 10.6%, 10.1%, 9.5%, and 9.8%."
What is the average annual total return for a money market fund?,"The average annual total return for a money market fund is 1 -, 5-, and 10 - calendar year periods ending on the date of the most recently."
What is the return of an appropriate broad-based securities market index as defined by instruction 5 to Item 27(b)(7)?,The return of an appropriate broad-based securities market index as defined by instruction 5 to Item 27(b)(7) is the percentage increase or decrease in the value of a securities market index over a period of time.
Which Investment Company Act release provides more information about the compliance dates for the changes in Item 4(b)(2)(iii)?,"Investment Company Act Release No. 34731 (Oct. 26, 2022)"
"What are the average annual total returns for the fund, after taxes on distributions and redemptions?","The average annual total return for the fund, after taxes on distributions and redemptions, is 12%."
What is the earliest calendar year for which annual total returns are available?,The earliest calendar year for which annual total returns are available is 1987.
What are the reasons for selecting a different index than the one used in the previous period?,"There could be several reasons for why a different index might be selected. Some possible reasons include changes in the composition of the market, changes in the objectives of the Fund, or differences in the methodologies of the two indices."
What is the purpose of presenting annual total returns in a bar chart for only one class when a multiple class fund is involved?,The purpose of presenting annual total returns in a bar chart for only one class when a multiple class fund is involved is to provide a clear comparison of the performance of the selected class to the other classes involved.
What are the annual returns for the Class that is not presented?,The annual returns for the Class that is not presented are substantially similar to the annual returns for the Class that is presented.
How do you calculate average annual total returns for a Multiple Class Fund that offers a Class that converts into another Class after a stated period?,You would calculate average annual total returns by using the returns of the other Class for the period after conversion.
What must the Fund do in order to include the current adviser's performance information in its disclosures?,The Fund may include the current adviser's performance information in its disclosures if the current adviser has been providing advisory services to the Fund for at least 10 calendar years.
What is the date that the current adviser began to provide advisory services to the Fund?,The date that the current adviser began to provide advisory services to the Fund is the date that is listed in Instruction 13 of Item 27A(d)(2).
What is the minimum percentage of a fund's assets that must be managed by a sub-adviser in order for that sub-adviser to be identified in the fund's portfolio?,The minimum percentage of a fund's assets that must be managed by a sub-adviser in order for that sub-adviser to be identified in the fund's portfolio is 30%.
How many persons are jointly and primarily responsible for the day-to-day management of the Fund's portfolio?,At least six persons are jointly and primarily responsible for the day-to-day management of the Fund's portfolio.
What is the interval throughout the fiscal year?,The interval is the difference between the highest and lowest spread.
"What are the circumstances that are reasonably likely to affect adversely the Fund's net asset value, yield, or total return?","The circumstances reasonably likely to affect adversely the Fund's net asset value, yield, or total return include the following: the performance of the Fund's portfolio, the market for the Fund's investments, the general economic conditions, and the political and legal conditions."
What is the name of the court in which the pending litigation is taking place?,The name of the court in which the pending litigation is taking place is the Superior Court of the State of California.
Can you please explain how the price of Fund shares is determined?,The price of Fund shares is based on the Fund’s net asset value and the method used to value Fund shares.
What is the ballpark number of days that a shareholder can expect to wait for their redemption proceeds?,Seven
What information does the fund have to provide in order to omit the information required by paragraph c(1)?,"The fund has to provide information on the performance of the fund, the expenses of the fund, and the total assets of the fund in order to omit the information required by paragraph c(1)."
What are the sales load breakpoints for the Fund?,"The sales load breakpoints for the Fund are: 

-6.00% of the offering price for purchases of $1,000,000 or more

-5.75% of the offering price for purchases of $500,000 to $999,999

-5.50% of the offering price for purchases of $250,000 to $499,999

-4.00% of the offering price for purchases of $50,000 to $249"
What kinds of records or information does a shareholder need to provide to a fund or financial intermediary in order to verify eligibility for a breakpoint discount?,A shareholder would need to provide account statements or other records indicating the existence of other accounts with eligible holdings in order to verify eligibility for a breakpoint discount.
What are the requirements for a fund's website?,"The fund's website must include the specified Internet address, and in a clear and prominent format, the information required by paragraphs (a)(1) through (a)(4) and Item 23(a), including whether the Web site includes hyperlinks that facilitate access to the information."
"What types of information must be presented in a clear, concise, and understandable manner in order to comply with Item 12 of SEC Regulation S-K?","Information that must be presented in a clear, concise, and understandable manner in order to comply with Item 12 of SEC Regulation S-K includes tables, schedules, and charts."
What is the information required by paragraphs (a) and (b) for both the shares offered and the Class into which the shares may be?,"Paragraph (a) requires information about the terms of the conversion or exchange, and paragraph (b) requires information about the rights and privileges of the different Classes."
What is the purpose of the financial highlights table?,The financial highlights table is intended to help you understand the Fund’s financial performance for the past 5 years.
What is the effective date of the fund's registration statement?,The effective date of the fund's registration statement is the date on which the fund's registration statement is filed with the Securities and Exchange Commission.
How is net investment income per share calculated?,Net investment income per share is calculated by dividing undistributed net investment income at the beginning and end of the period by the number of shares outstanding on those dates.
Why may the amount shown for a share outstanding throughout the year not agree with the change in the aggregate gains and losses in the portfolio securities for the year?,The amount shown for a share outstanding throughout the year may not agree with the change in the aggregate gains and losses in the portfolio securities for the year because of the timing of sales and repurchases of the Fund's shares in relation to fluctuating market values for the portfolio.
"According to the text, when must a fund include a statement required by rule 30e-1 in its shareholder report?",A fund must include a statement required by rule 30e-1 in its shareholder report if the report has been previously delivered to a current shareholder.
What is the effective date of the revised Instruction 4(e) pursuant to the Tailored Shareholder Reports for Mutual Funds and Exchange-Traded Funds; Fee Information in Investment Company Advertisements rule?,"The effective date of the revised Instruction 4(e) is January 23, 2023."
What was the nature of the business the Fund was engaged in during the past 5 years?,"The Fund was engaged in the business of investing in companies during the past 5 years. The approximate date on which the Fund commenced business as an investment company was January 1, 2015. The Fund’s name was changed to The Investment Company on that date. The nature and results of the change in the Fund’s business or name were that the Fund’s investments increased in value and the Fund’s name was changed to The Investment Company."
What procedures does the Fund use to ensure disclosure of information about portfolio securities is in the best interests of Fund shareholders?,"The Fund uses procedures to ensure disclosure of information about portfolio securities is in the best interests of Fund shareholders, including procedures to address conflicts between the interests of Fund shareholders and those of the Fund’s investment adviser."
"What are the circumstances under which an affiliated person, promoter, or principal underwriter of a money market fund can provide financial support to the fund?","The circumstances under which an affiliated person, promoter, or principal underwriter of a money market fund can provide financial support to the fund are when the fund is in need of financial support, when the affiliated person, promoter, or principal underwriter has a relationship with the fund, and when the affiliated person, promoter, or principal underwriter feels it is necessary to provide financial support to the fund."
What is a capital support agreement?,A capital support agreement is an agreement between the Fund and another party that is intended to increase or stabilize the value or liquidity of the Fund's portfolio.
Who provided financial support to the merging investment company?,The person or entity that previously provided financial support to a merging investment company is not currently an affiliated.
What is the difference between a director who is an interested person of the fund and a director who is not an interested person of the fund?,"A director who is an interested person of the fund is someone who is invested in the fund, while a director who is not an interested person of the fund is someone who is not invested in the fund."
Which family relationships must be disclosed in a footnote to the table?,Any family relationships between the persons listed in the table must be disclosed in a footnote.
"For each person listed in column (1) of the table, describe any positions held with affiliated persons or with the Fund's principal underwriters.",The positions held by each person listed in column (1) of the table with affiliated persons or with the Fund's principal underwriters are described in column (2) of the table.
"What is the leadership structure of the Fund's board, including the responsibilities of the board of directors with respect to the Fund's management? If the chairman of the board is an interested person of the Fund, does the Fund have a lead independent","The Fund's board is led by a chairman, who is an interested person of the Fund. The board of directors is responsible for the Fund's management. The Fund has a lead independent director, who plays a specific role in the leadership of the Fund."
What are some of the characteristics or circumstances of the Fund?,"Some of the characteristics or circumstances of the Fund include the size of the Fund, the number of shareholders, the investment objectives, the type of investments, the risks associated with the investments, and the fees charged by the Fund."
What is the table required by paragraph (a)(1) of Item 17?,"The table required by paragraph (a)(1) of Item 17 is a table of information relating to the directors and executive officers of the company, including their names, ages, terms of office, and other relevant information."
"What material interests, direct or indirect, did any director who is not an interested person of the Fund, or immediate family member of the director, have in any transaction or series of similar transactions during the two most recently completed calendar years, in","It is difficult to determine what material interests, direct or indirect, any director who is not an interested person of the Fund, or immediate family member of the director, may have had in any transaction or series of similar transactions during the two most recently completed calendar years, without further context."
What is the definition of an investment company?,"Section 3 of the Investment Company Act of 1940 defines an investment company as any company ""primarily engaged in the business of investing, reinvesting, or trading in securities, or pooling the money of investors to purchase securities."""
"What is the cost of the assets to the purchaser and seller, respectively, in a transaction involving the purchase or sale of assets?","The cost of the assets to the purchaser is the cost of the assets to the seller, plus the cost of any improvements made to the assets by the purchaser. The cost of the assets to the seller is the cost of the assets to the seller, plus the cost of any improvements made to the assets by the seller."
"Does a person's indirect interest in a transaction mean that the person has a relationship with, or interest in, the company that engages in the transaction?","Yes, a person's indirect interest in a transaction means that the person has a relationship with, or interest in, the company that engages in the transaction."
What is a material transaction?,"A material transaction is a transaction that is significant to the company, and which could impact the company's financial position, operating results, or business strategy."
What is the nature of the transaction that the director or immediate family member is interested in?,The director or immediate family member is interested in a transaction where the interest arises solely from the ownership of securities of a person specified in paragraphs (b)(7)(i) through (b)(7)(viii).
What is the largest aggregate amount of indebtedness outstanding at any time during the period?,The largest aggregate amount of indebtedness outstanding at any time during the period is the amount outstanding as of the end of the most recently completed calendar year.
"What is the purpose of the requirement that a fund disclose any special treatment accorded to a director with respect to routine, retail transactions?",The purpose of the requirement is to ensure that investors are aware of any potential conflicts of interest that may arise from such transactions.
What is the nature of the relationship and the amount of business conducted between the director or immediate family member and the person specified in paragraphs (b)(7)(i) through (b)(7)(viii) of this Item 17 as a,"The relationship is likely business related, and a fair amount of business is conducted between the two parties."
What is the name of the company with which a person specified in paragraphs (b)(7)(i) through (b)(7)(viii) of Item 17 has a relationship?,The name of the company with which a person specified in paragraphs (b)(7)(i) through (b)(7)(viii) of Item 17 has a relationship is not specified in the text.
Which two positions served on the board of directors during the most recently completed calendar years?,investment adviser or principal underwriter
Where did the individual named in paragraph (b)(9)(ii) of this Item 17 hold office?,"The individual named in paragraph (b)(9)(ii) of this Item 17 held office in the investment adviser or principal underwriter or person controlling, controlled by, or under common control with the investment adviser or principal underwriter."
How much compensation must a person receive from the fund in order to be considered a 'Compensated Person'?,"A person must receive aggregate compensation from the fund of more than $60,000 in order to be considered a 'Compensated Person'."
What is the total amount of deferred compensation (including interest) payable to or accrued for any fiscal year?,"$5,000"
"What are the material provisions of any pension, retirement, or other plan or any arrangement, other than fee arrangements, under which the compensated persons are or may be compensated for services provided, including amounts paid, if any, to the compensated person","The material provisions of any pension, retirement, or other plan or any arrangement, other than fee arrangements, under which the compensated persons are or may be compensated for services provided, including amounts paid, if any, to the compensated person, are the following: The person will be compensated for services provided under the arrangement. The amount of compensation paid to the person under the arrangement will be determined by the pension, retirement, or other plan."
What is the Department of Labor'sCriteria for DeterminingPayments under a Retirement Plan?,"The Department of Labor's criteria for determining payments under a retirement plan include the specific provisions of the plan, the length of service or vesting period required by the plan, the retirement age or other event that gives rise to payment under the plan, and whether the payment of benefits is secured or funded by the plan."
"What sales load arrangements are in place for directors and other affiliated persons of the fund, and how do these breakpoints work?","The sales load arrangements for directors and other affiliated persons of the fund result in breakpoints in, or elimination of, sales loads for directors and other affiliated persons of the Fund. The breakpoints are different for each class of individuals and transactions, and are expressed as a percentage of both the offering price and the net amount invested of the Fund’s shares. The reasons for the difference in the price at which securities are offered generally to the public, and the prices at which securities are offered to directors"
"Do the fund's codes of ethics permit personnel subject to the codes to invest in securities, including securities that may be purchased or held by the fund?","Yes, the fund's codes of ethics permit personnel subject to the codes to invest in securities, including securities that may be purchased or held by the fund."
How does the fund vote proxies for portfolio securities?,The fund votes proxies for portfolio securities based on the policies and procedures of the fund's investment adviser or any other third party. Information on how the fund voted proxies during the last 12-month period is available by calling a toll-free number or by visiting the fund's website.
"What is the name and address of the control person for the Fund? What is the percentage of voting securities owned or basis of control for the control person? If the control person is a company, what is the jurisdiction under the laws of which",The name of the control person for the fund is ABC Corporation. The address is 123 Elm Street. The percentage of voting securities owned or basis of control for the control person is 100%. The company is organized under the laws of the State of XYZ.
"What is the percentage of the Fund's equity securities owned by all officers, directors, and members of any advisory board of the Fund as a group?","If the amount owned by directors and officers as a group is less than 1% of the Class, provide a statement to that effect."
What are the total dollar amounts that the Fund has paid to the adviser and any advisers who are not affiliated persons of the adviser under the investment advisory contract for the last three fiscal years?,"The total dollar amounts that the Fund paid to the adviser (aggregated with amounts paid to affiliated advisers, if any), and any advisers who are not affiliated persons of the adviser, under the investment advisory contract for the last three fiscal years are as follows:

Year 1: $___

Year 2: $___

Year 3: $___"
"Please provide information on any person who regularly advises the fund on investing, purchasing, or selling securities, and who receives direct or indirect remuneration.","Other Investment Advice. If any person (other than a director, officer, member of an advisory board, employee, or investment adviser of the Fund), through any understanding, whether formal or informal, regularly advises the Fund or the Fund’s investment adviser with respect to the Fund’s investing in, purchasing, or selling securities or other property, or has the authority to determine what securities or other property should be purchased or sold by the Fund, and receives direct or indirect remuneration,"
How was the remuneration for the advice or information paid for the last three fiscal years?,The remuneration was paid by the Fund in connection with transactions in the Fund’s portfolio securities.
What type of advice did the persons who provided investment advice to the Fund give?,"The persons who provided investment advice to the Fund gave statistical and other factual information, advice about economic factors and trends, or advice as to occasional transactions in specific securities."
What are the different types of financial institutions that can serve as custodians for the securities in a fund's portfolio?,"According to the text, there are three types of financial institutions that can serve as custodians for the securities in a fund's portfolio: commercial banks, trust companies, and depositories."
"What is ""revenue split"" in relation to securities lending?","The ""revenue split"" is the share of the revenue generated by the securities lending program that is paid to the securities lending agent(s)."
What other fees and payments are not included in the revenue split for a pooled cash collateral reinvestment vehicle?,Fees for indemnification that are not included in the revenue split; rebates paid to borrowers; and any other.
What information is required to be provided by the end of the fund's fiscal year?,"The fund's most recent fiscal year-end information must be provided, including information on any new portfolio managers. The date the information is provided must also be disclosed."
What type of compensation do the portfolio managers receive? How is this compensation determined?,"The portfolio managers receive salary, bonus, deferred compensation, and retirement plans and arrangements. This compensation is determined by the Board of Trustees."
Is the method used to determine the Portfolio Manager's compensation with respect to the Fund the same as the method used to determine the Portfolio Manager's compensation with respect to other accounts?,"No, the method used to determine the Portfolio Manager's compensation with respect to the Fund is different from the method used to determine the Portfolio Manager's compensation with respect to other accounts."
What is the most recent valuation date for the fund?,"The most recent valuation date for the fund is March 31, 2020."
What is the average markup or commission that the broker charges for transactions in portfolio securities?,The average markup or commission that the broker charges for transactions in portfolio securities is not stated in the text.
What are the factors that the fund will consider when selecting brokers and determining the overall reasonableness of brokerage commissions paid?,"The fund will consider a number of factors when selecting brokers and determining the overall reasonableness of brokerage commissions paid, including the size and liquidity of the securities market, the trading volume of the security, the Fund's investment objectives, and the Fund's investment strategy."
What is the value of the Fund's aggregate holdings of the securities of each issuer as of the close of the Fund's most recent fiscal year?,The value of the Fund's aggregate holdings of the securities of each issuer as of the close of the Fund's most recent fiscal year is $____.
What are the rights of any authorized securities of the fund other than capital stock?,The rights of any authorized securities of the fund other than capital stock are subscription warrants or rights.
What methods does the fund use to offer shares to the public?,"The fund offers shares to the public through letters of intent, accumulation plans, dividend reinvestment plans, withdrawal plans, exchange privileges, employee benefit plans, redemption reinvestment plans, and waivers for particular classes of shareholders."
"What is the sales load for each class of investor in a merger, acquisition, or exchange offer made under a plan of reorganization?","The sales load for each class of investor in a merger, acquisition, or exchange offer made under a plan of reorganization is a percentage of both the offering price and the net amount invested."
"What is the nature, extent, and effect of the exemption from section 18(f) that the Fund has received?",The exemption from section 18(f) that the Fund has received exempts the Fund from the requirement that it invest its assets in accordance with the regulations set forth in that section. The extent of the exemption is that the Fund is not required to invest its assets in accordance with those regulations. The effect of the exemption is that the Fund is able to invest its assets in accordance with its own investment objectives and strategies.
"What arrangements does the fund have in place to permit frequent purchases and redemptions of fund shares? Who are the persons permitted to engage in frequent purchases and redemptions pursuant to such arrangements? What compensation or other consideration does the fund,","The fund has arrangements in place to permit frequent purchases and redemptions of fund shares. The persons permitted to engage in frequent purchases and redemptions pursuant to such arrangements are the investment adviser and any other party. The compensation or other consideration received by the fund, its investment adviser, or any other party pursuant to such arrangements is commissions or other fees."
What information is required in the table with respect to commissions and other compensation received by each principal underwriter?,The table requires information on all commissions and other compensation received by each principal underwriter from the Fund during the Fund’s most recent fiscal year.
What information is required to be disclosed by a fund in regards to payment made to an underwriter or dealer during the fund's last fiscal year?,"The name and address of the underwriter or dealer, the amount paid and basis for determining that amount, the circumstances surrounding the payments, and the consideration received by the fund."
Which services are excluded by Instructions 1 and 2 to Item 19(d) or by Instruction 2 to Item 34?,Services that are excluded by Instructions 1 and 2 to Item 19(d) or by Instruction 2 to Item 34 are not included in the response to this paragraph.
What method is used to calculate the base period return?,The method used to calculate the base period return is to divide the difference by the value of the account at the beginning of the base period to obtain the base period return.
What is the base period return?,"The base period return is the account's balance at the beginning of the period subtracted by a hypothetical charge reflecting deductions from shareholder accounts, divided by the value of the account at the beginning of the base period, and then compounding the base period return by adding 1."
What is the tax-equivalent current yield for a fund with a yield of 2% that is 80% tax-exempt?,2.5%
What is the effect of income taxes on the shareholder receiving dividends?,taxes reduce the yield quoted by the effect of any income taxes on the shareholder receiving dividends.
What is the most significant federal tax impact on an individual taxpayer when distributions are adjusted to reflect the reinvestment date?,The most significant federal tax impact on an individual taxpayer when distributions are adjusted to reflect the reinvestment date is that the taxpayer would have to pay taxes on the portion of the distribution that would result in federal taxes.
What is the Fund's mean or median account size?,The Fund's mean or median account size is the account size that is most frequently occurring.
What would be the effect of a distribution on an individual taxpayer's taxes if the distribution were reinvested?,The effect of a distribution on an individual taxpayer's taxes would be that the taxpayer would not have to pay taxes on the portion of the distribution that would not result in federal income tax.
What fees are associated with the Fund's mean (or median) account size?,The fees associated with the Fund's mean (or median) account size include recurring fees as well as taxes or tax credits that may result from any redemption of shares required to pay such fees.
What is the tax basis of a distribution representing a return of 60% capital?,The tax basis of a distribution representing a return of 60% capital is net of any sales loads imposed upon reinvestment and adjusted for any other tax basis adjustments that would apply to an individual taxpayer.
How should the tax character of reinvested distributions be determined?,by the length of the period between reinvestment and the end of the measurement period
At what tax rate are capital gains taxed at the federal level?,"At the federal level, capital gains are taxed at the highest individual capital gains tax rate in effect on the redemption date."
What is the meaning of redemption date?,The redemption date is the date on which the shares are sold and the gains and losses are calculated.
What is the maturity of an obligation?,The maturity of an obligation is the time at which it is due to be repaid.
What is the Fund's mean account size?,The Fund's mean account size is the average account size of all the shareholder accounts.
What is section 28(e) of the Securities Exchange Act?,"Section 28(e) of the Securities Exchange Act is a section that deals with research services. It states that if a research service is provided to a fund, and the fund pays for the service directly, then an estimate of the amount that would have been paid for the service in an arm's length transaction must be added to the expenses for the period."
What is the definition of undeclared earned income?,"The definition of undeclared earned income is the net investment income that has not been declared as a dividend at the end of the base period, but is reasonably expected to be declared as a dividend shortly thereafter."
What is the Fund's tax equivalent yield?,"The Fund's tax equivalent yield is the portion of the Fund's yield that is tax-exempt divided by 1 minus a stated income tax rate, plus the Fund's yield."
What type of financial statements and condensed financial information does an investment company that has not previously had an effective registration statement under the Securities Act need to include in its initial registration statement under the Securities Act?,The investment company needs to include any additional financial statements and condensed financial information necessary to make the financial statements and condensed financial information included in the registration statement current as of a date within 90 days prior to the date of filing.
What is the purpose of the graph and table accompanying the statement on average annual total returns?,"The graph and table accompanying the statement on average annual total returns is meant to provide investors with information on the returns of the fund over time. Returns are an important factor to consider when making investment decisions, and this information can help investors gauge the potential performance of the fund in the future. It is important to note, however, that past performance does not guarantee future results, and that taxes may reduce the overall returns of the fund."
What is the Fund's net asset value?,"The Fund's net asset value is the number of days it was less than the Fund's net asset value (i.e., premium or discount) for the most recently completed calendar year, and the most recently completed calendar quarters since that year (or the life of the Fund, if shorter)."
What is the percentage of days the Market Price was greater than the Fund's net asset value?,54.55%
Why may shareholders pay more or less than the net asset value when buying or selling fund shares?,"The net asset value of a fund is the value of the assets in the fund minus the liabilities. However, when shareholders buy or sell shares of the fund, they do so at the current market price, which may be higher or lower than the net asset value."
What is the aggregate remuneration paid by the fund?,The aggregate remuneration paid by the fund is the total amount of money paid to the persons specified under paragraph (b)(3) during the period covered by the report.
